Timestamp,Start Point,End Point,Optimal Route,Number of Steps
2025-06-29 06:14:52,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:53,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:53,G,C,G -> C,1,5
2025-06-29 06:14:53,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:54,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:54,G,C,G -> C,1,5
2025-06-29 06:14:54,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:15:06,A,G,A -> B -> C -> G,3,15
2025-06-29 06:15:06,G,C,G -> C,1,5
2025-06-29 06:15:06,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 23:00:51,A,B,A -> B,1,5
2025-06-29 23:01:17,A,E,A -> B -> F -> J -> I -> E,5,25
2025-06-29 23:02:25,A,E,A -> B -> F -> J -> I -> E,5,25
2025-06-29 23:02:25,E,F,E -> I -> J -> F,3,15
2025-06-29 23:02:25,A,F,A -> B -> F -> J -> I -> E -> I -> J -> F,8,40
2025-06-29 23:05:29,A,E,A -> B -> F -> J -> I -> E,5,25
2025-06-29 23:05:29,E,F,E -> I -> J -> F,3,15
2025-06-29 23:05:29,A,F,A -> B -> F -> J -> I -> E -> I -> J -> F,8,40
2025-06-29 23:05:59,A,E,A -> B -> F -> J -> I -> E,5,25
2025-06-29 23:05:59,E,F,E -> I -> J -> F,3,15
2025-06-29 23:05:59,A,F,A -> B -> F -> J -> I -> E -> I -> J -> F,8,40
2025-06-29 23:07:13,D,B,D -> H -> G -> C -> B,4,20
2025-06-29 23:08:11,A,F,A -> B -> F,2,10
2025-06-29 23:08:11,F,G,F -> B -> C -> G,3,15
2025-06-29 23:08:11,A,G,A -> B -> F -> B -> C -> G,5,25
2025-06-29 23:08:26,A,F,A -> B -> F,2,10
2025-06-29 23:08:26,F,G,F -> B -> C -> G,3,15
2025-06-29 23:08:26,A,G,A -> B -> F -> B -> C -> G,5,25
2025-06-29 23:08:31,A,F,A -> B -> F,2,10
2025-06-29 23:08:31,F,G,F -> B -> C -> G,3,15
2025-06-29 23:08:31,A,G,A -> B -> F -> B -> C -> G,5,25
2025-06-29 23:09:09,D,F,D -> H -> L -> K -> J -> F,5,25
2025-06-29 23:09:09,F,E,F -> J -> I -> E,3,15
2025-06-29 23:09:09,D,E,D -> H -> L -> K -> J -> F -> J -> I -> E,8,40
2025-06-29 23:10:08,A,B,A -> B,1,5
2025-06-29 23:20:34,B,D,B -> C -> G -> H -> D,4,20
2025-06-29 23:22:28,B,D,B -> C -> G -> H -> D,4,20
2025-06-29 23:23:36,E,D,E -> I -> J -> K -> L -> H -> D,6,30
2025-06-29 23:26:34,A,F,A -> B -> F,2,10
2025-06-29 23:26:34,F,G,F -> B -> C -> G,3,15
2025-06-29 23:26:34,A,G,A -> B -> F -> B -> C -> G,5,25
2025-06-29 23:29:43,A,D,A -> B -> C -> G -> H -> D,5,25
2025-06-29 23:30:30,D,A,D -> H -> G -> C -> B -> A,5,25
2025-06-29 23:30:30,A,L,A -> B -> F -> J -> K -> L,5,25
2025-06-29 23:30:30,D,L,D -> H -> G -> C -> B -> A -> B -> F -> J -> K -> L,10,50
2025-06-29 23:32:52,A,F,A -> B -> F,2,10
2025-06-29 23:33:20,D,E,D -> H -> L -> K -> J -> I -> E,6,30
2025-06-29 23:33:20,E,G,E -> I -> J -> K -> L -> H -> G,6,30
2025-06-29 23:33:20,D,G,D -> H -> L -> K -> J -> I -> E -> I -> J -> K -> L -> H -> G,12,60
2025-06-29 23:33:59,D,E,D -> H -> L -> K -> J -> I -> E,6,30
2025-06-29 23:34:00,E,G,E -> I -> J -> K -> L -> H -> G,6,30
2025-06-29 23:34:00,D,G,D -> H -> L -> K -> J -> I -> E -> I -> J -> K -> L -> H -> G,12,60
2025-06-29 23:36:25,E,K,E -> I -> J -> K,3,15
2025-06-29 23:36:50,E,L,E -> I -> J -> K -> L,4,20
2025-06-29 23:36:50,L,B,L -> K -> J -> F -> B,4,20
2025-06-29 23:36:50,E,B,E -> I -> J -> K -> L -> K -> J -> F -> B,8,40
2025-06-29 23:37:22,E,L,E -> I -> J -> K -> L,4,20
2025-06-29 23:37:22,L,D,L -> H -> D,2,10
2025-06-29 23:37:22,E,D,E -> I -> J -> K -> L -> H -> D,6,30
2025-06-29 23:40:00,C,K,C -> G -> H -> L -> K,4,20
2025-06-29 23:40:12,C,K,C -> G -> H -> L -> K,4,20
2025-06-29 23:40:35,E,C,E -> I -> J -> F -> B -> C,5,25
2025-06-29 23:40:35,C,K,C -> G -> H -> L -> K,4,20
2025-06-29 23:40:35,E,K,E -> I -> J -> F -> B -> C -> G -> H -> L -> K,9,45
2025-06-29 23:41:05,E,C,E -> I -> J -> F -> B -> C,5,25
2025-06-29 23:41:05,C,K,C -> G -> H -> L -> K,4,20
2025-06-29 23:41:05,E,K,E -> I -> J -> F -> B -> C -> G -> H -> L -> K,9,45
2025-06-30 00:20:59,A,B,A -> B,1,5
2025-07-02 00:34:07,C,F,C -> B -> F,2,10
